county,year,naics,emp,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4
CAMPO,2010,531110,104,27,20,4,3,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,531120,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,531130,9,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,531190,10,3,2,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,531210,75,26,20,4,2,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,531311,105,19,12,3,3,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,531312,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,531320,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,532111,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,532120,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,532230,21,3,1,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,532291,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,532292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,532310,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,532412,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541110,107,29,22,4,3,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541191,12,2,0,2,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541211,93,14,7,5,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,541213,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541214,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541219,26,11,10,0,1,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541310,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541320,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541330,513,33,25,1,3,3,0,0,1,0,0,0,0,0,0
CAMPO,2010,541350,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541360,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541370,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541380,37,4,1,2,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,541430,12,4,3,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541511,81,15,10,3,1,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,541512,54,15,11,4,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541611,18,8,7,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541612,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541613,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541620,91,11,8,0,0,3,0,0,0,0,0,0,0,0,0
CAMPO,2010,541690,40,13,12,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,541711,46,2,0,1,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,541712,191,18,11,3,1,1,2,0,0,0,0,0,0,0,0
CAMPO,2010,541720,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541810,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541820,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541840,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541890,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541910,30,1,0,0,0,1,0,0,0,0,0,0,0,0,0
CAMPO,2010,541921,10,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541922,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
CAMPO,2010,541930,50,2,1,0,0,1,0,0,0,0,0,0,0,0,0
